Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,,,,,,
RA7139005,SELF-TAPPING SCREW DIA 3X12,XT2 XT4 TU.B.3.1,S,1000,XT2 XT4 TU,ST30,,,,,,
RB0494001,TRIP SPRING,XT2 XT4 TU.B.3.2,XS,200,XT2 XT4 TU,ST30,,,,,,
RB0495001,TRIP LEVER,XT2 XT4 TU.B.3.3,S,200,XT2 XT4 TU,ST30,,,,,,
RB0504001,PIN,XT2 XT4 TU.B.3.4,XS,300,XT2 XT4 TU,ST30,,,,,,
RA7139008,SELF-TAPPING SCREW DIA 3X15,XT2 XT4 TU.B.3.5,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA9198001,TRIP LEVER,XT2 XT4 TU.B.4.1,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA9201001,PIN,XT2 XT4 TU.B.4.2,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA9200001,RELEASE SPRING,XT2 XT4 TU.B.4.3,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA5736002,HIGH ADJUSTER TMA XT2,XT2 XT4 TU.B.4.4,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA5736001,HIGH ADJUSTER TMA/MCP XT2,XT2 XT4 TU.B.4.5,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA9199001,TRIP LEVER SPRING,XT2 XT4 TU.B.5.1,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA5736003,LOW ADJUSTER TMF XT2,XT2 XT4 TU.B.5.2,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA5736004,LOW ADJUSTER TMF/MCP XT2,XT2 XT4 TU.B.5.3,XS,5000,XT2 XT4 TU,ST30,,,,,,
RA7139008,SELF-TAPPING SCREW DIA 3X15,XT2 XT4 TU.B.5.4,XS,5000,XT2 XT4 TU,ST30,,,,,,
RP0825001,SCREW STEEL RT21044/M3X9,XT2 XT4 TU.C.1.1,XS,5000,XT2 XT4 TU,ST40,,,,,,
500587003,STEEL SCREW RT21044/M3X8,XT2 XT4 TU.C.1.2,XS,5000,XT2 XT4 TU,ST40,,,,,,
RA9491001,TRASPARENT PROTECTION,XT2 XT4 TU.C.1.3,XS,5000,XT2 XT4 TU,ST50,,,,,,
RE2079001,TRASPARENT PROTECTION T2R 3P,XT2 XT4 TU.C.1.4,XS,5000,XT2 XT4 TU,ST50,,,,,,
RE2009001,TRIP UNIT TRASP. PROTECTION T3R 4P POLAR,XT2 XT4 TU.C.1.5,XS,5000,XT2 XT4 TU,ST50,,,,,,
RA5700001,TRASPARENT PROTECTION XT4 4P - TM,XT2 XT4 TU.C.2.1,XS,5000,XT2 XT4 TU,ST50,,,,,,
RA5744001,TRASPARENT PROTECTION XT2 4P - TM,XT2 XT4 TU.C.2.2,XS,5000,XT2 XT4 TU,ST50,,,,,,
RE1934001,TRIP UNIT TRASPARENT PROTECTION T2 4P,XT2 XT4 TU.C.2.3,XS,5000,XT2 XT4 TU,ST50,,,,,,
RA5699001,TRASPARENT PROTECTION 3P,XT2 XT4 TU.C.2.4,M,1250,XT2 XT4 TU,ST50,,,,,,
RE2101001,TRIP UNIT TRASPARENT PROTECTION XT4 3P,XT2 XT4 TU.C.2.5,M,250,XT2 XT4 TU,ST50,,,,,,
RA9193808,I3 OPERATING MECHANISM GROUP,XT2 XT4 TU.C.3.1,L,450,XT2 XT4 TU,,,,,,,
RB1129001,PIN,XT2 XT4 TU.C.3.2,S,2000,XT2 XT4 TU,,,,,,,
RA5651001,TRIP CASE 3P,XT2 XT4 TU.D.1.1,L,50,XT2 XT4 TU,,,,,,,
RA5654003,TRIP COVER 3P,XT2 XT4 TU.D.1.2,L,200,XT2 XT4 TU,,,,,,,
RA5657004,TRIP UNIT FRONTAL 3P,XT2 XT4 TU.D.1.3,L,500,XT2 XT4 TU,,,,,,,
RA5651001,TRIP CASE 3P,XT2 XT4 TU.D.2.1,L,50,XT2 XT4 TU,,,,,,,
RA5658801,THERM. GROUP R250 IEC/UL - XT4,XT2 XT4 TU.D.2.2,L,560,XT2 XT4 TU,,,,,,,
RA5658802,THERM. GROUP R225,XT2 XT4 TU.D.2.3,L,560,XT2 XT4 TU,,,,,,,
RA5651001,TRIP CASE 3P,XT2 XT4 TU.D.3.1,L,50,XT2 XT4 TU,,,,,,,
RA5658803,THERM. GROUP R200 IEC/UL - XT4,XT2 XT4 TU.D.3.2,L,560,XT2 XT4 TU,,,,,,,
RA5658804,THERM. GROUP R160 IEC/R175-R160 UL,XT2 XT4 TU.D.3.3,L,560,XT2 XT4 TU,,,,,,,
RA5657001,TRIP UNIT FRONTAL 3P,XT2 XT4 TU.E.1.1,M,150,XT2 XT4 TU,,,,,,,
RA5657005,TRIP UNIT FRONTAL (AB) 3P - XT4 - TMA,XT2 XT4 TU.E.1.2,M,150,XT2 XT4 TU,,,,,,,
RA5657007,MA TRIP UNIT FRONTAL (AB),XT2 XT4 TU.E.1.3,M,150,XT2 XT4 TU,,,,,,,
RA5658805,THERM. GROUP R125 IEC/UL,XT2 XT4 TU.E.1.4,M,220,XT2 XT4 TU,,,,,,,
RA5674001,TRIP SHAFT,XT2 XT4 TU.E.2.1,M,200,XT2 XT4 TU,,,,,,,
RA5674002,TRIP SHAFT,XT2 XT4 TU.E.2.2,M,200,XT2 XT4 TU,,,,,,,
RA5674003,TRIP SHAFT - XT4 -TM,XT2 XT4 TU.E.2.3,M,200,XT2 XT4 TU,,,,,,,
RA5674004,TRIP SHAFT,XT2 XT4 TU.E.2.4,M,200,XT2 XT4 TU,,,,,,,
RA5674005,TRIP SHAFT,XT2 XT4 TU.E.3.1,M,200,XT2 XT4 TU,,,,,,,
RA5676001,MANGETIC SHAFT 3P,XT2 XT4 TU.E.3.2,M,200,XT2 XT4 TU,,,,,,,
RA5676006,MAGNETIC SHAFT 3P UL,XT2 XT4 TU.E.3.3,M,200,XT2 XT4 TU,,,,,,,
RA5685814,TRIP MOVING CORE GROUP UL,XT2 XT4 TU.E.3.4,M,500,XT2 XT4 TU,,,,,,,
RA5685815,TRIP MOVING CORE GROUP UL,XT2 XT4 TU.E.4.1,M,500,XT2 XT4 TU,,,,,,,
RA5708810,THROUGH BAR GROUP - XT4 - MCP/MCS,XT2 XT4 TU.E.4.2,M,150,XT2 XT4 TU,,,,,,,
RA5710002,FIXED CORE,XT2 XT4 TU.E.4.3,M,1000,XT2 XT4 TU,,,,,,,
RA5710003,FIXED CORE - XT4 - TM/MCP/MCS,XT2 XT4 TU.E.4.4,M,450,XT2 XT4 TU,,,,,,,
RB0520001,RELEASE SPRING,XT2 XT4 TU.F.1.1,S,200,XT2 XT4 TU,,,,,,,
RB1401801,I3 GROUP MCS - XT4 - Grey,XT2 XT4 TU.F.1.2,M,300,XT2 XT4 TU,,,,,,,
RB1401802,I3 GROUP MCS - XT4 - White,XT2 XT4 TU.F.1.3,M,300,XT2 XT4 TU,,,,,,,
RB1401803,I3 ASS.Y XT4,XT2 XT4 TU.F.1.4,M,500,XT2 XT4 TU,,,,,,,
RB1401804,OPERATING MECH. ASS.Y XT4,XT2 XT4 TU.F.2.1,M,250,XT2 XT4 TU,,,,,,,
RE1905001,TRIP COVER XT4 4P,XT2 XT4 TU.F.2.2,M,150,XT2 XT4 TU,,,,,,,
RE1912801,XT4 TA CONN. 40A ASS.Y,XT2 XT4 TU.F.2.3,M,100,XT2 XT4 TU,,,,,,,
RE1912802,XT4 TA CONN. 60/63A ASS.Y,XT2 XT4 TU.F.2.4,M,100,XT2 XT4 TU,,,,,,,
RE1912805,XT4 TA CONN. 150/160A ASS.Y,XT2 XT4 TU.F.3.1,M,200,XT2 XT4 TU,,,,,,,
RE1912808,XT4 TA CONN. 225A ASS.Y,XT2 XT4 TU.F.3.2,M,100,XT2 XT4 TU,,,,,,,
RE1994001,TRIP UNIT FRONTAL XT4 4P,XT2 XT4 TU.F.3.3,M,100,XT2 XT4 TU,,,,,,,
RE2099001,TRIP UNIT COVER XT4 3P,XT2 XT4 TU.F.3.4,M,200,XT2 XT4 TU,,,,,,,
RE2533001,TRIP UNIT CASE XT4 4P,XT2 XT4 TU.F.4.1,M,50,XT2 XT4 TU,,,,,,,
RE2057801,EKIP LSIG BASE BOARD PCA,XT2 XT4 TU.F.4.2,M,100,XT2 XT4 TU,,,,,,,
1SDR001807A1001,EKIP DIP FRONTAL XT4 III,XT2 XT4 TU.F.4.3,M,220,XT2 XT4 TU,,,,,,,
1SDR005567A1001,ONDULATING SPRING,XT2 XT4 TU.F.4.4,S,5000,XT2 XT4 TU,,,,,,,
RE2532001,TRIP UNIT CASE XT4 3P,XT2 XT4 TU.G.1.1,L,50,XT2 XT4 TU,,,,,,,
RE1912804,XT4 TA CONN. 100A ASS.Y,XT2 XT4 TU.G.1.2,L,450,XT2 XT4 TU,,,,,,,
RE1912807,XT4 TA CONN. 250A ASS.Y,XT2 XT4 TU.G.1.3,L,450,XT2 XT4 TU,,,,,,,
RE2532001,TRIP UNIT CASE XT4 3P,XT2 XT4 TU.G.2.1,L,50,XT2 XT4 TU,,,,,,,
RE1912807,XT4 TA CONN. 250A ASS.Y,XT2 XT4 TU.G.2.2,L,450,XT2 XT4 TU,,,,,,,
RE2100001,TRIP UNIT FRONTAL XT4 3P,XT2 XT4 TU.G.2.3,L,400,XT2 XT4 TU,,,,,,,
RE2532001,TRIP UNIT CASE XT4 3P,XT2 XT4 TU.G.3.1,L,50,XT2 XT4 TU,,,,,,,
RE4236803,XT2-XT4-UT2-UT4 EKIP LS/I PCBA-SHORTAGE,XT2 XT4 TU.G.3.2,L,220,XT2 XT4 TU,,,,,,,
RE4237801,XT2-XT4 Ekip Dip LSIG PCBA,XT2 XT4 TU.G.3.3,L,220,XT2 XT4 TU,,,,,,,
1000453R0002,TRIP UNIT WARNING (AB),XT2 XT4 TU.H.1.1,S,500,XT2 XT4 TU,,,,,,,
1000721R0505,TRIP UNIT MOUNTING XT2-XT4(AB),XT2 XT4 TU.H.1.2,S,200,XT2 XT4 TU,,,,,,,
1SDH000721R0505,TRIP UNIT MOUNTING XT2-4,XT2 XT4 TU.H.1.3,S,600,XT2 XT4 TU,,,,,,,
78857,Quality Gate Sticker - XT2/XT4 TU,XT2 XT4 TU.H.1.4,S,4000,XT2 XT4 TU,,,,,,,
RA5671003,"SCREW T20 M4X9,5 CL.12.9",XT2 XT4 TU.H.1.5,S,500,XT2 XT4 TU,,,,,,,
1SDE000618G1001,XT4 Ekip Dip LSI 3P Label,XT2 XT4 TU.H.2.1,XS,500,XT2 XT4 TU,,,,,,,
1SDE000619G1001,XT4 Ekip Dip LSIG 3P Label,XT2 XT4 TU.H.2.2,XS,500,XT2 XT4 TU,,,,,,,
1SDE001499G1001,XT4 Ekip DIP LSI 3P Ne Fixed Label,XT2 XT4 TU.H.2.3,XS,500,XT2 XT4 TU,,,,,,,
1SDE001500G1001,XT4 Ekip DIP LSIG 3P Ne Fixed Label,XT2 XT4 TU.H.2.4,XS,500,XT2 XT4 TU,,,,,,,
1SDH000721R0506,k.s.TRIP UNIT Ekip LSI Ekip LSIG XT2-XT4,XT2 XT4 TU.H.2.5,XS,500,XT2 XT4 TU,,,,,,,
1SDH000721R0510,TRIP UNIT EKIP DIP LSI-LSIG,XT2 XT4 TU.H.3.1,XS,500,XT2 XT4 TU,,,,,,,
1SDR001809A1001,EKIP DIP TRANSPARENT PROTECTION XT4 III,XT2 XT4 TU.H.3.2,XS,20,XT2 XT4 TU,,,,,,,
500587003,STEEL SCREW RT21044/M3X8,XT2 XT4 TU.H.3.3,XS,5000,XT2 XT4 TU,,,,,,,
RE2323001,EKIP LS/I XT4 III LABEL,XT2 XT4 TU.H.3.4,XS,500,XT2 XT4 TU,,,,,,,
RE2329001,EKIP LS/I XT4 4P LABEL (SEL. NE),XT2 XT4 TU.H.3.5,XS,500,XT2 XT4 TU,,,,,,,
RE2333001,Ekip LSI  XT4-III LABEL,XT2 XT4 TU.H.4.1,XS,500,XT2 XT4 TU,,,,,,,
RP0365001,SELF-TAPPING SCREW RT21589/3.5X12,XT2 XT4 TU.H.4.2,XS,4000,XT2 XT4 TU,,,,,,,
RP0654001,TAPPING COUNTER HEAD SCREW RT21570/M3X7,XT2 XT4 TU.H.4.3,XS,5000,XT2 XT4 TU,,,,,,,
RE2531001,TRIP UNIT CASE XT2 3P,XT2 XT4 TU.I.1.1,L,50,XT2 XT4 TU,,,,,,,
RE1561803,TA CONN. ASS.Y 100A,XT2 XT4 TU.I.1.2,L,450,XT2 XT4 TU,,,,,,,
RE1561804,TA CONN. ASS.Y 125A,XT2 XT4 TU.I.1.3,L,450,XT2 XT4 TU,,,,,,,
RE2531001,TRIP UNIT CASE XT2 3P,XT2 XT4 TU.I.2.1,L,50,XT2 XT4 TU,,,,,,,
RE2077001,TRIP UNIT COVER TWR 3P,XT2 XT4 TU.I.2.2,L,400,XT2 XT4 TU,,,,,,,
RE2717801,I3 GROUP XT2,XT2 XT4 TU.I.2.3,L,450,XT2 XT4 TU,,,,,,,
RE2531001,TRIP UNIT CASE XT2 3P,XT2 XT4 TU.I.3.1,L,50,XT2 XT4 TU,,,,,,,
RE4236803,XT2-XT4-UT2-UT4 EKIP LS/I PCBA,XT2 XT4 TU.I.3.2,L,220,XT2 XT4 TU,,,,,,,
1SDE000606G1001,XT2 Ekip DIP LSI 3P LABEL,XT2 XT4 TU.J.1.1,XS,500,XT2 XT4 TU,,,,,,,
1SDE000607G1001,XT2 Ekip DIP LSIG 3P LABEL,XT2 XT4 TU.J.1.2,XS,500,XT2 XT4 TU,,,,,,,
1SDE001497G1001,XT2 Ekip DIP LSI 3P Ne Fixed Label,XT2 XT4 TU.J.1.3,XS,500,XT2 XT4 TU,,,,,,,
1SDE001498G1001,XT2 Ekip DIP LSIG 3P Ne Fixed Label,XT2 XT4 TU.J.1.4,XS,500,XT2 XT4 TU,,,,,,,
RE1932001,EKIP LS/I XT2 III LABEL,XT2 XT4 TU.J.1.5,XS,1000,XT2 XT4 TU,,,,,,,
RE2278001,Ekip LSI  XT2-III LABEL,XT2 XT4 TU.J.2.1,XS,500,XT2 XT4 TU,,,,,,,
1SDR001803A1001,EKIP DIP FRONTAL XT2 III,XT2 XT4 TU.J.2.2,M,200,XT2 XT4 TU,,,,,,,
1SDR002239A1001,XT2 EKIP DIP BOARD PROTECTION,XT2 XT4 TU.J.2.3,M,200,XT2 XT4 TU,,,,,,,
RE1561801,TA CONN. ASS.Y 60/63A,XT2 XT4 TU.J.2.4,M,200,XT2 XT4 TU,,,,,,,
RE2014802,TA XT2 25A IEC,XT2 XT4 TU.J.3.1,M,90,XT2 XT4 TU,,,,,,,
RE2014803,TA XT2 25A UL,XT2 XT4 TU.J.3.2,M,90,XT2 XT4 TU,,,,,,,
RE2078001,FRONTAL TRIP UNIT T2R 3P,XT2 XT4 TU.J.3.3,M,200,XT2 XT4 TU,,,,,,,
RE2717802,I3 GROUP XT2 LIGHT,XT2 XT4 TU.J.3.4,M,100,XT2 XT4 TU,,,,,,,
RE2719801,I3 OP. MECH.  GROUP,XT2 XT4 TU.J.4.1,M,200,XT2 XT4 TU,,,,,,,
RE2719802,I3 OP. MECH. GROUP LIGHT,XT2 XT4 TU.J.4.2,M,100,XT2 XT4 TU,,,,,,,
RA5403004,TRIP UNIT CASE,XT2 XT4 TU.K.1.1,L,50,XT2 XT4 TU,,,,,,,
RA5404004,TRIP UNIT COVER,XT2 XT4 TU.K.1.2,L,500,XT2 XT4 TU,,,,,,,
RA5724802,TERM. GR R125 IEC R100/110/125 UL-XT2 TM,XT2 XT4 TU.K.1.3,L,450,XT2 XT4 TU,,,,,,,
RA5403004,TRIP UNIT CASE,XT2 XT4 TU.K.2.1,L,50,XT2 XT4 TU,,,,,,,
RA5724804,TERM. GROUP R80 IEC/R70-80 UL,XT2 XT4 TU.K.2.2,L,450,XT2 XT4 TU,,,,,,,
RA5739813,TRIP MOVING CORE GROUP,XT2 XT4 TU.K.2.3,L,450,XT2 XT4 TU,,,,,,,
RA5403004,TRIP UNIT CASE,XT2 XT4 TU.K.3.1,L,50,XT2 XT4 TU,,,,,,,
RA5739814,TRIP MOVING CORE GROUP,XT2 XT4 TU.K.3.2,L,450,XT2 XT4 TU,,,,,,,
RA9193807,I3 GROUP,XT2 XT4 TU.K.3.3,L,450,XT2 XT4 TU,,,,,,,
RA5394001,MAGNETIC SHAFT 3P,XT2 XT4 TU.L.1.1,M,200,XT2 XT4 TU,,,,,,,
RA5394004,MAGNETIC SHAFT 3P,XT2 XT4 TU.L.1.2,M,200,XT2 XT4 TU,,,,,,,
RA5404006,TRIP UNIT COVER - XT2 TM/MCP,XT2 XT4 TU.L.1.3,M,100,XT2 XT4 TU,,,,,,,
RA5724831,THERM. GROUP R20 UL,XT2 XT4 TU.L.1.4,M,200,XT2 XT4 TU,,,,,,,
RA5724835,THERM. GROUP R40 UL  - XT2 - TM,XT2 XT4 TU.L.2.1,M,200,XT2 XT4 TU,,,,,,,
RA5724850,THERM. GROUP MCS,XT2 XT4 TU.L.2.2,M,200,XT2 XT4 TU,,,,,,,
RA9193803,I3 GROUP P. INT LIGHT,XT2 XT4 TU.L.2.3,M,200,XT2 XT4 TU,,,,,,,
RA9193804,OPERATING MECH. GROUP I3 P. INT. LIGHT,XT2 XT4 TU.L.2.4,M,200,XT2 XT4 TU,,,,,,,
RA9193805,I3 GROUP MCS - XT2 - Grey,XT2 XT4 TU.L.3.1,M,200,XT2 XT4 TU,,,,,,,
RA9193806,I3 GROUP MCS - XT2 - White,XT2 XT4 TU.L.3.2,M,200,XT2 XT4 TU,,,,,,,
RA9490001,TRIP UNIT FRONTAL 3P TMA,XT2 XT4 TU.L.3.3,M,150,XT2 XT4 TU,,,,,,,
RA9490004,TRIP UNIT FRONTAL 3P MF/CUT-OUT SWITCH,XT2 XT4 TU.L.3.4,M,150,XT2 XT4 TU,,,,,,,
RB2521001,TERM. SHAFT 3P,XT2 XT4 TU.L.4.1,M,150,XT2 XT4 TU,,,,,,,
RB2521002,TERM. SHAFT,XT2 XT4 TU.L.4.2,M,500,XT2 XT4 TU,,,,,,,
RB2521008,"THERM, SHAFT 3P",XT2 XT4 TU.L.4.3,M,500,XT2 XT4 TU,,,,,,,
RB6765001,DISK D7.5,XT2 XT4 TU.L.4.4,M,500,XT2 XT4 TU,,,,,,,
,,,,,,,,,,,,
